Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Latitude,Longitude
2/9/2016,9:14:00 AM,E 49th Av at Fraser St,Intersection,1,,,0,80-89,M,49.22547178,-123.0907739
3/8/2016,9:28:00 PM,E 41st Ave at Kerr St,Close to intersection,1,,,0,50-59,F,49.23296273,-123.0402279
3/11/2016,12:54:00 AM,2700 Block W Broadway Ave,Mid-block,1,,,0,30-39,M,49.26404143,-123.1665126
3/31/2016,9:22:00 AM,E Broadway & Rupert,Intersection,1,,,0,30-39,F,49.26189129,-123.0337576
4/13/2016,8:50:00 AM,Main & Hastings,Intersection,1,,,0,80-89,F,49.28133561,-123.0996488
4/17/2016,2:32:00 AM,6900 Heather St,mid block,,,,0,30-39,M,49.22147426,-123.1237489
5/17/2016,1:50:00 PM,8501 Stanley Park Dr   ,Close to intersection,,1,,0,70-79,M,,
7/28/2016,12:31:00 PM,1600 Block Duranleau St,Driveway,1,,,0,20-29,F,,
8/29/2016,5:26:00 PM,Seymour & Davie,Intersection,,,,1,60-69,M,49.27650884,-123.1252068
8/29/2016,5:30:00 PM,Seymour & Davie,Intersection,,,,1,70-79,F,49.27650884,-123.1252068
8/31/2016,6:36:00 AM,Main & Hastings,Intersection,1,,,0,40-49,M,49.28133561,-123.0996488
10/3/2016,4:19:00 AM,3400 Block E Hastings St,Mid-block,1,,,0,50-59,M,49.28112365,-123.0295789
10/11/2016,3:11:00 PM,W 49th Av at Yew St,Intersection,1,,,0,60-69,F,49.22720412,-123.1588021
2/22/2017,7:05:00 AM,MacDonald St at W Broadway,Intersection,,,1,0,30-39,M,49.26407036,-123.1681743
4/2/2017,9:17:00 PM,400 SE Marine Dr,Mid-block,,,,1,60-69,F,49.21107469,-123.0962004
4/23/2017,5:06:00 AM,Victoria Diversion at Commercial St,Close to Intersection,,,,1,20-29,M,,
5/28/2017,5:22:00 PM,W 4th Av at Anderson St,Intersection,1,,,0,80-89,M,,
6/18/2017,11:56:00 AM,8200 Block Boundary Rd,Mid-block,,,,1,50-59,F,49.2114886,-123.0235925
8/6/2017,6:18:00 AM,W 4th Av at Trimble St,Intersection,,,,1,20-29,M,49.26896294,-123.2058731
8/13/2017,10:16:00 AM,800 - 900 Canada Place,Mid-block,1,,,0,40-49,M,49.2877967,-123.1141986
8/22/2017,10:33:00 AM,E 41st Ave at Fraser St,Intersection,1,,,0,80-89,F,49.23289146,-123.0905577
9/17/2017,2:50:00 PM,E 12th Av at Commercial Dr,Intersection,1,,,0,80-89,F,49.25956122,-123.0698156
11/1/2017,3:28:00 PM,Columbia St at E Pender St,Intersection,1,,,0,80-89,M,49.28043451,-123.1022971
12/13/2017,11:38:00 AM,Slocan St at E 20th Av,Close to Intersection,1,,,0,70-79,F,49.25238284,-123.0495864
12/19/2017,1:00:00 AM,Burrard Bridge,Midblock,,,,1,30-39,M,49.27538076,-123.137183
12/20/2017,7:00:00 AM,Jepson-Young Lane  ,Midblock,1,,,0,,F,,
12/24/2017,12:00:00 PM,Cambie St at Dunsmuir St,Intersection,,,,1,70-79,F,49.28046912,-123.1115363
6/19/2006,,Knight St/E 62nd Av,,1,,,0,30-39,M,49.21376177,-123.0770884
7/1/2007,,2200 Block SW Marine Dr,,,,1,0,50-59,M,49.22073666,-123.1585583
1/2/2006,,8500 Block Fraser St,,,,,1,30-39,M,,
1/7/2006,,Nanaimo St/Parker St,,1,,,0,80-89,M,49.27580688,-123.0565749
1/17/2006,,Quebec St/National Av,,,,,1,50-59,M,49.27495447,-123.1019214
1/27/2006,,Main St/E 18th Av,,,,,1,20-29,F,49.25479432,-123.1009926
1/28/2006,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
1/28/2006,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
1/28/2006,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
1/28/2006,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
2/3/2006,,E 55th Av/Kerr St,,1,,,0,50-59,F,49.21916378,-123.0413395
3/2/2006,,700 Block Gore Street,,1,,,0,70-79,F,49.27807203,-123.0970209
3/4/2006,,3300 Block Marine Way,,,,,1,30-39,M,49.20699709,-123.0337606
3/10/2006,,37th Av/Knight St,,,,,1,40-49,F,49.23685247,-123.0768903
4/7/2006,,Melville St/Thurlow St,,1,,,0,50-59,M,49.28646334,-123.1220054
5/9/2006,,E 41st Av/Main St,,1,,,0,80-89,F,49.2330791,-123.1015186
6/11/2006,,800 Block Howe St,,1,,,0,10-19,M,49.28147458,-123.1216087
6/27/2006,,Granville St/Drake St,,1,,,0,50-59,M,,
7/1/2006,,100 W Cordova St,,,,,1,20-29,M,49.28314917,-123.1079856
7/8/2006,,W 4th Av/Trimble St,,,1,,0,60-69,M,49.26896294,-123.2058731
